stock,exchange,shortname,quoteType,symbol,index,score,typeDisp,longname,exchDisp,sector,industry,isYahooFinance,prevName,nameChangeDate
NATU3.SA,,,,,,,,,,,,,,
BSAN33.SA,,,,,,,,,,,,,,
TECN3.SA,SAO,TECHNOS     ON      NM,EQUITY,TECN3.SA,quotes,2001400.0,Equity,Technos S.A.,São Paulo,Consumer Cyclical,Luxury Goods,True,,
NFLX34.SA,SAO,NETFLIX     DRN,EQUITY,NFLX34.SA,quotes,2000200.0,Equity,"Netflix, Inc.",São Paulo,Communication Services,Entertainment,True,,
OIBR3.SA,SAO,OI          ON      N1,EQUITY,OIBR3.SA,quotes,2015000.0,Equity,Oi S.A.,São Paulo,Communication Services,Telecom Services,True,,
CCRO3.SA,SAO,CCR SA      ON      NM,EQUITY,CCRO3.SA,quotes,2037500.0,Equity,CCR S.A.,São Paulo,Industrials,Infrastructure Operations,True,,
RUMO3.SA,,,,,,,,,,,,,,
PRIO3.SA,SAO,PETRORIO    ON      NM,EQUITY,PRIO3.SA,quotes,2020100.0,Equity,Petro Rio S.A.,São Paulo,Energy,Oil & Gas E&P,True,,
OSXB3.SA,SAO,OSX BRASIL  ON      NM,EQUITY,OSXB3.SA,quotes,2000400.0,Equity,OSX Brasil S.A.,São Paulo,Energy,Oil & Gas Equipment & Services,True,,
ORCL34.SA,SAO,ORACLE      DRN,EQUITY,ORCL34.SA,quotes,2000100.0,Equity,Oracle Corporation,São Paulo,Technology,Software—Infrastructure,True,,
ODPV3.SA,SAO,ODONTOPREV  ON      NM,EQUITY,ODPV3.SA,quotes,2002100.0,Equity,Odontoprev S.A.,São Paulo,Healthcare,Healthcare Plans,True,,
GEOO34F.SA,,,,,,,,,,,,,,
GEOO34.SA,SAO,GE          DRN,EQUITY,GEOO34.SA,quotes,2000500.0,Equity,General Electric Company,São Paulo,Industrials,Specialty Industrial Machinery,True,,
FDMO34.SA,SAO,FORD MOTORS DRN,EQUITY,FDMO34.SA,quotes,2007400.0,Equity,Ford Motor Company,São Paulo,Consumer Cyclical,Auto Manufacturers,True,,
CTIP3.SA,,,,,,,,,,,,,,
CSCO34F.SA,,,,,,,,,,,,,,
CPLE3.SA,SAO,COPEL       ON      N2,EQUITY,CPLE3.SA,quotes,2001600.0,Equity,Companhia Paranaense de Energia - COPEL,São Paulo,Utilities,Utilities—Diversified,True,,
CMIG4.SA,SAO,CEMIG       PN      N1,EQUITY,CMIG4.SA,quotes,2048100.0,Equity,Companhia Energética de Minas Gerais,São Paulo,Utilities,Utilities—Diversified,True,,
CBOP11.SA,SAO,FII C BRANCOCI,EQUITY,CBOP11.SA,quotes,2000200.0,Equity,Castello Branco Off Park Fund In Im,São Paulo,Real Estate,REIT—Diversified,True,,
AMZO34.SA,SAO,AMAZON      DRN,EQUITY,AMZO34.SA,quotes,2005400.0,Equity,"Amazon.com, Inc.",São Paulo,Consumer Cyclical,Internet Retail,True,,
SULT3F.SA,,,,,,,,,,,,,,
NUTR3F.SA,SAO,NUTRIPLANT  ON      MA,EQUITY,NUTR3F.SA,quotes,2000200.0,Equity,,São Paulo,,,True,,
FJTA11.SA,,,,,,,,,,,,,,
CPTP3B.SA,,,,,,,,,,,,,,
CEPE3F.SA,,,,,,,,,,,,,,
CBEE3F.SA,SAO,AMPLA ENERG ON,EQUITY,CBEE3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
PTNT3F.SA,SAO,PETTENATI   ON,EQUITY,PTNT3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
XPOM11.SA,,,,,,,,,,,,,,
BNBR3F.SA,SAO,NORD BRASIL ON,EQUITY,BNBR3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
OIBR-DEB92L0.SA,,,,,,,,,,,,,,
CEEB3F.SA,SAO,COELBA      ON,EQUITY,CEEB3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
EKTR3F.SA,SAO,ELEKTRO     ON,EQUITY,EKTR3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
SNSL3F.SA,,,,,,,,,,,,,,
